method_name,regular_summary,bpe_summary,original_code,docstring,human_score
PersonDictionary.isBadCase,�÷������ָ�������Ƿ��ڻ������ʵ��С���ͨ���Ӵʵ��л�ȡ�����������Ӧ�� EnumItem ����Ȼ����ö����Ƿ������ǩ 'NR.A'��������������� true����ʾ��������һ�������������򷵻� false��,��������Ƿ�Ϊ�����������ز���ֵ��,"static boolean isBadCase(String name)
    {
        EnumItem<NR> nrEnumItem = dictionary.get(name);
        if (nrEnumItem == null) return false;
        return nrEnumItem.containsLabel(NR.A);
    }","��Ϊ�κ��㷨���޷����100%�����⣬������һЩbad case����Щbad case���ԡ��ǹ��� A 1������ʽ����ʵ���<BR>
����������������Ƿ���bad case

@param name
@return",1
RestTemplateExchangeTags.outcome,�÷���ͨ����������HTTP��Ӧ��״̬��������һ����ʾ�����Tag���󡣸���״̬��Ĳ�ͬ��Χ��������Ӧ��OUTCOME��ǩ��������Ϣ�ԡ��ɹ����ض��򡢿ͻ��˴���ͷ����������ǩ�������ӦΪnull�򲶻�IO�쳣�򲻺Ϸ������쳣���򷵻�δ֪�����ǩ��,����HTTP��Ӧ��״̬�뷵�ض�Ӧ�Ľ����ǩ,"public static Tag outcome(ClientHttpResponse response) {
		try {
			if (response != null) {
				HttpStatus statusCode = response.getStatusCode();
				if (statusCode.is1xxInformational()) {
					return OUTCOME_INFORMATIONAL;
				}
				if (statusCode.is2xxSuccessful()) {
					return OUTCOME_SUCCESS;
				}
				if (statusCode.is3xxRedirection()) {
					return OUTCOME_REDIRECTION;
				}
				if (statusCode.is4xxClientError()) {
					return OUTCOME_CLIENT_ERROR;
				}
				if (statusCode.is5xxServerError()) {
					return OUTCOME_SERVER_ERROR;
				}
			}
			return OUTCOME_UNKNOWN;
		}
		catch (IOException | IllegalArgumentException ex) {
			return OUTCOME_UNKNOWN;
		}
	}","Creates an {@code outcome} {@code Tag} derived from the
{@link ClientHttpResponse#getStatusCode() status} of the given {@code response}.
@param response the response
@return the outcome tag
@since 2.2.0",1
AbstractFilterRegistrationBean.setDispatcherTypes,�˷������ڸ���ָ���ĵ���������Ԫ�����õ��������͵ļ��ϡ�ͨ�����ݵ�һ��Ԫ�غ�������ѡԪ�أ��˷�������һ��EnumSet���ϣ�����������dispatcherTypes���ԡ�,����ָ��Ԫ�����õ��������ͼ���,"public void setDispatcherTypes(DispatcherType first, DispatcherType... rest) {
		this.dispatcherTypes = EnumSet.of(first, rest);
	}","Convenience method to {@link #setDispatcherTypes(EnumSet) set dispatcher types}
using the specified elements.
@param first the first dispatcher type
@param rest additional dispatcher types",2
IOUtil.newBufferedReader,�÷���Ϊָ��·�����ļ�����һ��BufferedReader�����ȣ�����IOUtil.newInputStream(path)�Ի�ȡ��·������������Ȼ��ʹ��ָ����UTF-8�ַ�������һ��InputStreamReader�������հ�װ��BufferedReader���ء��������ܻ��׳�FileNotFoundException��UnsupportedEncodingException��,����ָ��·���ļ���UTF-8����BufferedReader,"public static BufferedReader newBufferedReader(String path) throws IOException
    {
        return new BufferedReader(new InputStreamReader(IOUtil.newInputStream(path), ""UTF-8""));
    }","����һ��BufferedReader
@param path
@return
@throws FileNotFoundException
@throws UnsupportedEncodingException",1
MainClassFinder.doWithMainClasses,"�÷�����ָ���ĸ�Ŀ¼�±��������ļ�����Ŀ¼��ִ�лص������Դ���ÿ������main�������ࡣ

��Ҫ���������
1. ����Ŀ¼�Ƿ������Ϊ��ЧĿ¼�������׳��쳣�򷵻�null��
2. ����һ����ջ��������ȱ��������ļ���
3. ����ÿ���ļ���
   - ����ǿɶ������ļ�������ļ�������ClassDescriptor����
   - ���ClassDescriptor�����е�main������������ڣ�����ûص�������
   - ��������ظ������ߣ���������κηǿջص������
4. �������Ŀ¼����������ļ����й��˲�������ջ��
5. ������Ϸ���null��",����Ŀ¼��������ÿ������main�������ಢ���ûص���,"static <T> T doWithMainClasses(File rootFolder, MainClassCallback<T> callback)
			throws IOException {
		if (!rootFolder.exists()) {
			return null; // nothing to do
		}
		if (!rootFolder.isDirectory()) {
			throw new IllegalArgumentException(
					""Invalid root folder '"" + rootFolder + ""'"");
		}
		String prefix = rootFolder.getAbsolutePath() + ""/"";
		Deque<File> stack = new ArrayDeque<>();
		stack.push(rootFolder);
		while (!stack.isEmpty()) {
			File file = stack.pop();
			if (file.isFile()) {
				try (InputStream inputStream = new FileInputStream(file)) {
					ClassDescriptor classDescriptor = createClassDescriptor(inputStream);
					if (classDescriptor != null && classDescriptor.isMainMethodFound()) {
						String className = convertToClassName(file.getAbsolutePath(),
								prefix);
						T result = callback.doWith(new MainClass(className,
								classDescriptor.getAnnotationNames()));
						if (result != null) {
							return result;
						}
					}
				}
			}
			if (file.isDirectory()) {
				pushAllSorted(stack, file.listFiles(PACKAGE_FOLDER_FILTER));
				pushAllSorted(stack, file.listFiles(CLASS_FILE_FILTER));
			}
		}
		return null;
	}","Perform the given callback operation on all main classes from the given root
folder.
@param <T> the result type
@param rootFolder the root folder
@param callback the callback
@return the first callback result or {@code null}
@throws IOException in case of I/O errors",1
IntervalNode.checkForOverlaps,�÷������ڼ����������䣨interval�����������伯�ϣ�this.intervals�����ص���������������ṩ�ķ��������direction�������жϣ�LEFT����ʱ�ж�������ʼ��С�ڵ��ڸ�����������������Ϊ�ص���RIGHT�������ж����н�������ڵ��ڸ���������ʼ�������Ϊ�ص������շ��ط����������ص������б���,��������ص������ط��������������б�,"protected List<Intervalable> checkForOverlaps(Intervalable interval, Direction direction)
    {

        List<Intervalable> overlaps = new ArrayList<Intervalable>();
        for (Intervalable currentInterval : this.intervals)
        {
            switch (direction)
            {
                case LEFT:
                    if (currentInterval.getStart() <= interval.getEnd())
                    {
                        overlaps.add(currentInterval);
                    }
                    break;
                case RIGHT:
                    if (currentInterval.getEnd() >= interval.getStart())
                    {
                        overlaps.add(currentInterval);
                    }
                    break;
            }
        }
        return overlaps;
    }","Ѱ���ص�
@param interval һ�����䣬��������ص�
@param direction ���򣬱����ص�������interval����߻����ұ�
@return",2
BitVector.set,�÷����ڸ���λ�����е��ض�λ�������á�����һ��������id����һ������ֵ��bit����Ϊ���������bitΪtrue������_units���ݽṹ������λ��id��λΪ1������ʵ����ͨ����id����UNIT_SIZE�õ���������Ӧ��Ԫ��1����id��UNIT_SIZEȡģ��Ľ�����а�λ�����㡣,��ָ��λ�õ�λ����Ϊ1,"void set(int id, boolean bit)
    {
        if (bit)
        {
            _units.set(id / UNIT_SIZE, _units.get(id / UNIT_SIZE)
                    | 1 << (id % UNIT_SIZE));
        }
    }","����ĳһλ�ı���
@param id λ
@param bit ����",2
AhoCorasickDoubleArrayTrie.parseText,�÷������ڴ��������ı���ʶ���������ģʽ������Aho-Corasick˫����Trie�㷨���ڸ����ı������ַ�����������ǰ״̬����Ϊ�뵱ǰ�ַ���Ӧ��״̬�������ǰλ�õ�״̬����������飬��Ϊÿ��ƥ�����е��ô�������hit��������������λ�õ���Ϣ���������ӿ�IHit���ڴ������ֵ�ƥ�䡣�÷���ͨ�����ַ�ɨ���״̬ת��ʵ�ָ�Ч�Ķ�ģʽƥ�䡣,Aho-Corasick�Զ������������ڴ��ı���ʶ��ģʽ������ƥ����,"public void parseText(String text, IHit<V> processor)
    {
        int position = 1;
        int currentState = 0;
        for (int i = 0; i < text.length(); ++i)
        {
            currentState = getState(currentState, text.charAt(i));
            int[] hitArray = output[currentState];
            if (hitArray != null)
            {
                for (int hit : hitArray)
                {
                    processor.hit(position - l[hit], position, v[hit]);
                }
            }
            ++position;
        }
    }","�����ı�

@param text      �ı�
@param processor ������",2
GroovyCompiler.compile,�÷������ڱ���ָ����GroovyԴ���롣���������������Ļ��棬Ȼ�󴴽������ñ��뵥Ԫ�����ռ���������ÿ��Դ����·�������Ὣ��ת��ΪURL�����ӵ����뵥Ԫ��ִ��ASTת���󣬱��뵥Ԫ��CLASS_GENERATION�׶ν��б��롣�ռ����ռ����м��ص��ࡣ����������࣬�����Ƶ����б�����λ�����գ��������б��������󡣸÷������ܻ��׳�����ʧ�ܻ�I/O��ص��쳣��,����ָ����GroovyԴ���벢����������,"public Class<?>[] compile(String... sources)
			throws CompilationFailedException, IOException {

		this.loader.clearCache();
		List<Class<?>> classes = new ArrayList<>();

		CompilerConfiguration configuration = this.loader.getConfiguration();

		CompilationUnit compilationUnit = new CompilationUnit(configuration, null,
				this.loader);
		ClassCollector collector = this.loader.createCollector(compilationUnit, null);
		compilationUnit.setClassgenCallback(collector);

		for (String source : sources) {
			List<String> paths = ResourceUtils.getUrls(source, this.loader);
			for (String path : paths) {
				compilationUnit.addSource(new URL(path));
			}
		}

		addAstTransformations(compilationUnit);

		compilationUnit.compile(Phases.CLASS_GENERATION);
		for (Object loadedClass : collector.getLoadedClasses()) {
			classes.add((Class<?>) loadedClass);
		}
		ClassNode mainClassNode = MainClass.get(compilationUnit);

		Class<?> mainClass = null;
		for (Class<?> loadedClass : classes) {
			if (mainClassNode.getName().equals(loadedClass.getName())) {
				mainClass = loadedClass;
			}
		}
		if (mainClass != null) {
			classes.remove(mainClass);
			classes.add(0, mainClass);
		}

		return ClassUtils.toClassArray(classes);
	}","Compile the specified Groovy sources, applying any
{@link CompilerAutoConfiguration}s. All classes defined in the sources will be
returned from this method.
@param sources the sources to compile
@return compiled classes
@throws CompilationFailedException in case of compilation failures
@throws IOException in case of I/O errors
@throws CompilationFailedException in case of compilation errors",2
JSONArray.optBoolean,"optBoolean��JSONArray�а�ָ������λ����ȡһ������, ���Խ���ת��ΪBoolean�����ת���ɹ�������ת�����Booleanֵ���������Ϊnull����ת���������ṩ�ĺ�ֵ(fallback)��",��JSONArray�а��������ز���ֵ�����Ĭ��ֵ��,"public boolean optBoolean(int index, boolean fallback) {
		Object object = opt(index);
		Boolean result = JSON.toBoolean(object);
		return result != null ? result : fallback;
	}","Returns the value at {@code index} if it exists and is a boolean or can be coerced
to a boolean. Returns {@code fallback} otherwise.
@param index the index to get the value from
@param fallback the fallback value
@return the value at {@code index} of {@code fallback}",2
JSONObject.optJSONObject,�÷���ͨ�����Ʋ�����ȡӳ���ֵ�������ֵ��JSONObject���ͣ��򷵻ظ�ֵ�����򷵻�null������ͨ������opt������ȡ���ƶ�Ӧ�Ķ���Ȼ����ö����Ƿ�ΪJSONObject���ͣ��������������ת�������أ����򷵻�null��,����������ƥ���JSONObject�����null��,"public JSONObject optJSONObject(String name) {
		Object object = opt(name);
		return object instanceof JSONObject ? (JSONObject) object : null;
	}","Returns the value mapped by {@code name} if it exists and is a {@code
JSONObject}. Returns null otherwise.
@param name the name of the property
@return the value or {@code null}",1
HttpTunnelPayload.getPayloadData,"This static method attempts to read payload data from a given ReadableByteChannel. It allocates a ByteBuffer of a predefined size and reads data into it from the channel. If data is read successfully, the buffer is flipped to prepare it for reading and returned. If the reading operation is interrupted by an InterruptedIOException, the method returns null. An IllegalStateException is thrown if the channel is closed unexpectedly before any data can be read.",Reads data from a channel into a ByteBuffer and handles IO exceptions.,"public static ByteBuffer getPayloadData(ReadableByteChannel channel)
			throws IOException {
		ByteBuffer buffer = ByteBuffer.allocate(BUFFER_SIZE);
		try {
			int amountRead = channel.read(buffer);
			Assert.state(amountRead != -1, ""Target server connection closed"");
			buffer.flip();
			return buffer;
		}
		catch (InterruptedIOException ex) {
			return null;
		}
	}","Return the payload data for the given source {@link ReadableByteChannel} or null if
the channel timed out whilst reading.
@param channel the source channel
@return payload data or {@code null}
@throws IOException in case of I/O errors",2
AbstractHealthAggregator.aggregateDetails,�˷�������һ����������ʵ����ӳ�䣬������һ���µ�LinkedHashMap�����а�������ӳ���������Ŀ��������Ŀ���Ǿۺϴ���Ľ���ʵ��ϸ�ڣ�ʹ���ܹ����л�ȡ�����Ϣ��,�ϲ�����ϸ��Ϊһ��LinkedHashMap����,"protected Map<String, Object> aggregateDetails(Map<String, Health> healths) {
		return new LinkedHashMap<>(healths);
	}","Return the map of 'aggregate' details that should be used from the specified
healths.
@param healths the health instances to aggregate
@return a map of details
@since 1.3.1",2
AbstractErrorWebExceptionHandler.renderErrorView,�˷������ڳ��ִ�����ͼ�����ݸ�������ͼ���ƺʹ�������������Ӧ�����ȼ��ģ���Ƿ���ã����������ʹ�ø�ģ����Ⱦ��ͼ����ģ�岻���ã����Խ���Ϊ��̬HTML��Դ��������Դ��ʽ���뵽��Ӧ�С�������߶������ڣ��򷵻ؿյķ����ߣ�Mono.empty()����,���ִ�����ͼ������ʹ��ģ�壬����ʹ�þ�̬HTML��ȱʧ�򷵻ؿ�,"protected Mono<ServerResponse> renderErrorView(String viewName,
			ServerResponse.BodyBuilder responseBody, Map<String, Object> error) {
		if (isTemplateAvailable(viewName)) {
			return responseBody.render(viewName, error);
		}
		Resource resource = resolveResource(viewName);
		if (resource != null) {
			return responseBody.body(BodyInserters.fromResource(resource));
		}
		return Mono.empty();
	}","Render the given error data as a view, using a template view if available or a
static HTML file if available otherwise. This will return an empty
{@code Publisher} if none of the above are available.
@param viewName the view name
@param responseBody the error response being built
@param error the error data as a map
@return a Publisher of the {@link ServerResponse}",2
SpringApplication.getAllSources,�÷������ؽ����ӵ�ApplicationContext�е�����Դ�Ĳ��ɱ伯�ϡ�������run(String...)ʱ����ڹ��캯����ָ�����κ���Դ�Լ�ͨ��setSources(Set)��ʽ���õ��κθ���Դ�����ȼ��primarySources�����Ƿ�Ϊ�գ������Ϊ����������Ԫ�����ӵ�allSources�����С����ż��sources�����Ƿ�Ϊ�գ������Ϊ����������Ԫ��Ҳ���ӵ�allSources�����С����շ���һ�������޸ĵ�allSources���ϡ�,���غϲ����Դ���ϣ���������޸�,"public Set<Object> getAllSources() {
		Set<Object> allSources = new LinkedHashSet<>();
		if (!CollectionUtils.isEmpty(this.primarySources)) {
			allSources.addAll(this.primarySources);
		}
		if (!CollectionUtils.isEmpty(this.sources)) {
			allSources.addAll(this.sources);
		}
		return Collections.unmodifiableSet(allSources);
	}","Return an immutable set of all the sources that will be added to an
ApplicationContext when {@link #run(String...)} is called. This method combines any
primary sources specified in the constructor with any additional ones that have
been {@link #setSources(Set) explicitly set}.
@return an immutable set of all sources",1
CoreBiGramTableDictionary.getBiFrequency,�˷������ڻ�ȡ�����ַ����ڴʵ��еĹ���Ƶ�Ρ�ͨ��CoreDictionary��trie�����ַ����ľ�ȷƥ�䣬�����һ�ַ���û��ƥ�䣬�򷵻�Ƶ��0���ɹ�ƥ��󣬷���ʹ�ö��ֲ�����Ԥ�ȶ���Ĵʶ�������Ѱ�Ҷ�Ӧ��B����������ͨ��ƫ��������ó���Ƶ��ֵ��,��������ַ����ĴʶԹ���Ƶ�β����ؽ����,"public static int getBiFrequency(String a, String b)
    {
        int idA = CoreDictionary.trie.exactMatchSearch(a);
        if (idA == -1)
        {
            return 0;
        }
        int idB = CoreDictionary.trie.exactMatchSearch(b);
        if (idB == -1)
        {
            return 0;
        }
        int index = binarySearch(pair, start[idA], start[idA + 1] - start[idA], idB);
        if (index < 0) return 0;
        index <<= 1;
        return pair[index + 1];
    }","��ȡ����Ƶ��

@param a ��һ����
@param b �ڶ�����
@return ��һ����@�ڶ����ʳ��ֵ�Ƶ��",2
MultipartConfigFactory.createMultipartConfig,����������һ���µ�MultipartConfigElementʵ���������н����õ�����ļ���С����������С���ļ���С��ֵ���ַ�����ʽת��Ϊ�ֽڸ�ʽ���ֱ����ڴ���MultipartConfigElement����,�������ô���MultipartConfigElementʵ�������ء�,"public MultipartConfigElement createMultipartConfig() {
		long maxFileSizeBytes = convertToBytes(this.maxFileSize, -1);
		long maxRequestSizeBytes = convertToBytes(this.maxRequestSize, -1);
		long fileSizeThresholdBytes = convertToBytes(this.fileSizeThreshold, 0);
		return new MultipartConfigElement(this.location, maxFileSizeBytes,
				maxRequestSizeBytes, (int) fileSizeThresholdBytes);
	}","Create a new {@link MultipartConfigElement} instance.
@return the multipart config element",1
